City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,loen,7.7601,168.2307,28.05,77,89,5.95,MH,1701323556
332,hithadhoo,-0.6,73.0833,28.08,75,98,7.2,MV,1701323556
333,chakvi,41.7187,41.7335,12.99,47,75,11.83,GE,1701323556
334,griffith,41.5284,-87.4237,1.71,86,0,3.09,US,1701323557
335,meybod,32.2501,54.0166,14.01,38,6,0.59,IR,1701323557
336,boa viagem,-5.1275,-39.7322,23.74,84,11,2.74,BR,1701323557
337,lihue,21.9789,-159.3672,22.58,79,40,3.09,US,1701323355
338,sharlyk,52.9167,54.75,-5.59,89,29,1.53,RU,1701323558
339,sinop,41.7711,34.8709,8.24,87,100,4.99,TR,1701323558
340,cide,41.8921,33.0044,12.84,83,100,3.01,TR,1701323558
341,nejdek,50.3224,12.7294,-1.75,93,100,1.03,CZ,1701323559
342,meadow lake,34.8014,-106.5436,7.89,59,87,1.53,US,1701323559
343,pervomayskoye,43.919,46.7102,9.87,88,90,1.58,RU,1701323559
344,howrah,22.5892,88.3103,27.0,74,31,3.09,IN,1701323559
345,stornoway,58.2093,-6.3865,6.98,91,75,5.66,GB,1701323560
346,cooma,-36.2333,149.1333,13.4,93,100,3.99,AU,1701323560
347,guankou,28.15,113.6333,9.89,56,100,2.74,CN,1701323560
348,hasaki,35.7333,140.8333,16.22,34,5,5.8,JP,1701323560
349,geraldton,-28.7667,114.6,28.23,54,3,8.75,AU,1701323560
350,luwuk,-0.9516,122.7875,29.69,75,84,0.69,ID,1701323561
351,atbara,17.7022,33.9864,25.47,57,9,5.69,SD,1701323561
352,uturoa,-16.7333,-151.4333,27.1,83,99,9.4,PF,1701323561
353,san antonio oeste,-40.7319,-64.9477,20.48,40,0,4.88,AR,1701323561
354,creston,41.0586,-94.3614,0.98,75,0,5.14,US,1701323562
355,maragogi,-9.0122,-35.2225,23.8,80,15,1.77,BR,1701323562
356,xinji,37.9028,115.2036,4.85,17,0,3.04,CN,1701323562
357,kodiak,57.79,-152.4072,1.73,93,100,9.26,US,1701323562
358,choma,-16.8065,26.9531,23.4,60,95,1.2,ZM,1701323562
359,vysokiy,58.35,60.05,-5.72,95,100,3.53,RU,1701323563
